Column1,Column2,Column3,Column4,Column5,Column6
a,contain,hers,nine,some,very
a's,containing,herself,no,somebody,via
able,contains,hi,nobody,somehow,viz
about,corresponding,him,non,someone,vs
above,could,himself,none,something,w
according,couldn't,his,noone,sometime,want
accordingly,course,hither,nor,sometimes,wants
across,currently,hopefully,normally,somewhat,was
actually,d,how,not,somewhere,wasn't
after,definitely,howbeit,nothing,soon,way
afterwards,described,however,novel,sorry,we
again,despite,i,now,specified,we'd
against,did,i'd,nowhere,specify,we'll
ain't,didn't,i'll,o,specifying,we're
all,different,i'm,obviously,still,we've
allow,do,i've,of,sub,welcome
allows,does,ie,off,such,well
almost,doesn't,if,often,sup,went
alone,doing,ignored,oh,sure,were
along,don't,immediate,ok,t,weren't
already,done,in,okay,t's,what
also,down,inasmuch,old,take,what's
although,downwards,inc,on,taken,whatever
always,during,indeed,once,tell,when
am,e,indicate,one,tends,whence
among,each,indicated,ones,th,whenever
amongst,edu,indicates,only,than,where
an,eg,inner,onto,thank,where's
and,eight,insofar,or,thanks,whereafter
another,either,instead,other,thanx,whereas
any,else,into,others,that,whereby
anybody,elsewhere,inward,otherwise,that's,wherein
anyhow,enough,is,ought,thats,whereupon
anyone,entirely,isn't,our,the,wherever
anything,especially,it,ours,their,whether
anyway,et,it'd,ourselves,theirs,which
anyways,etc,it'll,out,them,while
anywhere,even,it's,outside,themselves,whither
apart,ever,its,over,then,who
appear,every,itself,overall,thence,who's
appreciate,everybody,j,own,there,whoever
appropriate,everyone,just,p,there's,whole
are,everything,k,particular,thereafter,whom
aren't,everywhere,keep,particularly,thereby,whose
around,ex,keeps,per,therefore,why
as,exactly,kept,perhaps,therein,will
aside,example,know,placed,theres,willing
ask,except,knows,please,thereupon,wish
asking,f,known,plus,these,with
associated,far,l,possible,they,within
at,few,last,presumably,they'd,without
available,fifth,lately,probably,they'll,won't
away,first,later,provides,they're,wonder
awfully,five,latter,q,they've,would
b,followed,latterly,que,think,would
be,following,least,quite,third,wouldn't
became,follows,less,qv,this,x
because,for,lest,r,thorough,y
become,former,let,rather,thoroughly,yes
becomes,formerly,let's,rd,those,yet
becoming,forth,like,re,though,you
been,four,liked,really,three,you'd
before,from,likely,reasonably,through,you'll
beforehand,further,little,regarding,throughout,you're
behind,furthermore,look,regardless,thru,you've
being,g,looking,regards,thus,your
believe,get,looks,relatively,to,yours
below,gets,ltd,respectively,together,yourself
beside,getting,m,right,too,yourselves
besides,given,mainly,s,took,z
best,gives,many,said,toward,zero
better,go,may,same,towards,
between,goes,maybe,saw,tried,
beyond,going,me,say,tries,
both,gone,mean,saying,truly,
brief,got,meanwhile,says,try,
but,gotten,merely,second,trying,
by,greetings,might,secondly,twice,
c,h,more,see,two,
c'mon,had,moreover,seeing,u,
c's,hadn't,most,seem,un,
came,happens,mostly,seemed,under,
can,hardly,much,seeming,unfortunately,
can't,has,must,seems,unless,
cannot,hasn't,my,seen,unlikely,
cant,have,myself,self,until,
cause,haven't,n,selves,unto,
causes,having,name,sensible,up,
certain,he,namely,sent,upon,
certainly,he's,nd,serious,us,
changes,hello,near,seriously,use,
clearly,help,nearly,seven,used,
co,hence,necessary,several,useful,
com,her,need,shall,uses,
come,here,needs,she,using,
comes,here's,neither,should,usually,
concerning,hereafter,never,shouldn't,uucp,
consequently,hereby,nevertheless,since,v,
consider,herein,new,six,value,
considering,hereupon,next,so,various,
