,topics,perplexity,coherance
0,"[(0, '0.035*""result"" + 0.033*""search"" + 0.027*""form"" + 0.025*""history"" + 0.014*""previous"" + 0.012*""details"" + 0.010*""blah"" + 0.010*""string"" + 0.010*""satchel"" + 0.010*""type""')]",-5.177747595,0.508099936
1,"[(0, '0.037*""search"" + 0.022*""result"" + 0.022*""details"" + 0.018*""previous"" + 0.018*""blah"" + 0.018*""type"" + 0.018*""attachment"" + 0.014*""string"" + 0.014*""satchel"" + 0.014*""form""'),",-5.242456665,0.43279448
," (1, '0.050*""result"" + 0.041*""history"" + 0.041*""form"" + 0.028*""search"" + 0.015*""problem"" + 0.011*""entries"" + 0.011*""wrong"" + 0.011*""fix"" + 0.011*""call"" + 0.011*""so""')]",,
2,"[(0, '0.050*""search"" + 0.026*""result"" + 0.024*""blah"" + 0.024*""type"" + 0.018*""details"" + 0.018*""bloop"" + 0.018*""entry"" + 0.018*""baaa"" + 0.018*""satchel"" + 0.018*""try""'),, ",-5.323794618,0.415881463
," (1, '0.055*""result"" + 0.047*""history"" + 0.047*""form"" + 0.025*""search"" + 0.019*""problem"" + 0.013*""previous"" + 0.013*""call"" + 0.013*""fix"" + 0.013*""entries"" + 0.013*""wrong""')",,
,"(2, '0.019*""result"" + 0.019*""patch"" + 0.019*""create"" + 0.019*""v"" + 0.019*""attachment"" + 0.019*""id"" + 0.019*""details"" + 0.019*""search"" + 0.019*""seem"" + 0.019*""maybe""')]",,
3,"[(0, '0.045*""search"" + 0.027*""blah"" + 0.027*""result"" + 0.027*""previous"" + 0.020*""details"" + 0.020*""bloop"" + 0.020*""entry"" + 0.020*""satchel"" + 0.020*""baaa"" + 0.020*""string""'), ",-5.367694021,0.43953559
,"(1, '0.060*""result"" + 0.055*""history"" + 0.055*""form"" + 0.031*""search"" + 0.019*""problem"" + 0.013*""call"" + 0.013*""fix"" + 0.013*""previous"" + 0.013*""entries"" + 0.013*""wrong""'),",,
,"(2, '0.038*""patch"" + 0.038*""attachment"" + 0.038*""create"" + 0.038*""v"" + 0.038*""details"" + 0.038*""id"" + 0.021*""wrapper"" + 0.021*""wip"" + 0.021*""one"" + 0.021*""formhistresult""'),",,
,"  (3, '0.034*""search"" + 0.034*""field"" + 0.023*""result"" + 0.023*""qi"" + 0.023*""seem"" + 0.023*""type"" + 0.013*""form"" + 0.013*""entries"" + 0.013*""searchsuggestion"" + 0.013*""previousresult""')]",,
4,"[(0, '0.033*""search"" + 0.033*""details"" + 0.023*""result"" + 0.022*""previous"" + 0.022*""rename"" + 0.022*""one"" + 0.022*""blah"" + 0.022*""bloop"" + 0.022*""fhresult"" + 0.022*""attachment""'),  ",-5.463828672,0.371584473
," (1, '0.056*""result"" + 0.056*""history"" + 0.056*""form"" + 0.029*""search"" + 0.022*""problem"" + 0.015*""wrong"" + 0.015*""call"" + 0.015*""fix"" + 0.015*""suggestions"" + 0.015*""so""'),",,
,"(2, '0.026*""maybe"" + 0.026*""throw"" + 0.026*""away"" + 0.026*""search"" + 0.026*""result"" + 0.026*""string"" + 0.026*""previous"" + 0.026*""patch"" + 0.026*""v"" + 0.026*""create""'),",,
,"(3, '0.057*""field"" + 0.039*""search"" + 0.039*""type"" + 0.021*""form"" + 0.021*""seem"" + 0.021*""else"" + 0.021*""normal"" + 0.021*""entries"" + 0.021*""somewhere"" + 0.021*""handle""'),",,
," (4, '0.042*""result"" + 0.042*""search"" + 0.022*""history"" + 0.022*""form"" + 0.022*""find"" + 0.022*""baaa"" + 0.022*""blah"" + 0.022*""satchel"" + 0.012*""previous"" + 0.012*""type""')]",,
5,"[(0, '0.017*""pref"" + 0.016*""session"" + 0.014*""disable"" + 0.013*""api"" + 0.011*""want"" + 0.011*""restore"" + 0.011*""comment"" + 0.009*""id"" + 0.009*""extension"" + 0.009*""component""')]",-5.551178738,0.549543553
6,"[(0, '0.021*""session"" + 0.021*""memory"" + 0.017*""want"" + 0.014*""store"" + 0.013*""data"" + 0.013*""tab"" + 0.013*""bug"" + 0.013*""plus"" + 0.013*""mix"" + 0.013*""api""'), ",-5.678048798,0.463467895
,"(1, '0.021*""pref"" + 0.020*""disable"" + 0.015*""comment"" + 0.015*""restore"" + 0.015*""component"" + 0.012*""api"" + 0.012*""in"" + 0.012*""reply"" + 0.012*""different"" + 0.012*""sure""')]",,
7,"[(0, '0.025*""memory"" + 0.025*""want"" + 0.019*""api"" + 0.019*""session"" + 0.013*""note"" + 0.013*""id"" + 0.013*""store"" + 0.013*""attachment"" + 0.013*""details"" + 0.013*""others""'), ",-5.71112438,0.426735773
," (1, '0.032*""pref"" + 0.021*""disable"" + 0.017*""session"" + 0.017*""sure"" + 0.017*""different"" + 0.013*""restore"" + 0.013*""make"" + 0.013*""extension"" + 0.013*""id"" + 0.013*""user""'),",,
,"(2, '0.026*""comment"" + 0.021*""reply"" + 0.021*""in"" + 0.021*""problem"" + 0.016*""bug"" + 0.016*""disable"" + 0.016*""restore"" + 0.011*""pref"" + 0.011*""session"" + 0.011*""way""')]",,
8,"[(0, '0.027*""api"" + 0.027*""tab"" + 0.027*""mix"" + 0.026*""plus"" + 0.018*""id"" + 0.018*""attachment"" + 0.018*""details"" + 0.018*""create"" + 0.018*""people"" + 0.018*""use""'),   ",-5.772416326,0.431969002
,"(1, '0.031*""pref"" + 0.025*""different"" + 0.025*""comment"" + 0.025*""reply"" + 0.025*""in"" + 0.019*""disable"" + 0.019*""id"" + 0.019*""rather"" + 0.013*""attachment"" + 0.013*""details""'),",,
,"(2, '0.026*""data"" + 0.026*""problem"" + 0.020*""pref"" + 0.020*""memory"" + 0.020*""disable"" + 0.014*""bug"" + 0.014*""restore"" + 0.014*""way"" + 0.014*""that"" + 0.014*""notification""'),",,
,"(3, '0.033*""want"" + 0.028*""extension"" + 0.026*""session"" + 0.026*""component"" + 0.022*""api"" + 0.017*""store"" + 0.017*""user"" + 0.017*""author"" + 0.017*""replace"" + 0.017*""make""')]",,
9,"[(0, '0.029*""tab"" + 0.029*""mix"" + 0.029*""plus"" + 0.029*""api"" + 0.020*""id"" + 0.020*""attachment"" + 0.020*""details"" + 0.020*""create"" + 0.020*""people"" + 0.020*""use""'),   ",-5.812198789,0.457776255
,"(1, '0.035*""pref"" + 0.028*""different"" + 0.022*""disable"" + 0.021*""id"" + 0.021*""rather"" + 0.015*""use"" + 0.015*""restore"" + 0.015*""im"" + 0.015*""mean"" + 0.015*""halfbaked""'),",,
,"(2, '0.032*""problem"" + 0.025*""data"" + 0.025*""disable"" + 0.025*""memory"" + 0.017*""way"" + 0.017*""that"" + 0.017*""restore"" + 0.017*""pref"" + 0.017*""still"" + 0.017*""eg""'),",,
,"(3, '0.032*""want"" + 0.026*""comment"" + 0.026*""in"" + 0.026*""reply"" + 0.020*""session"" + 0.020*""pref"" + 0.020*""user"" + 0.014*""api"" + 0.014*""replace"" + 0.014*""extension""'),",,
," (4, '0.025*""attachment"" + 0.025*""details"" + 0.025*""from"" + 0.025*""update"" + 0.015*""implementation"" + 0.015*""simpler"" + 0.015*""make"" + 0.015*""life"" + 0.014*""session"" + 0.014*""component""')]",,
10,"[(0, '0.017*""gesture"" + 0.014*""rotate"" + 0.013*""tab"" + 0.011*""trigger"" + 0.011*""accidentally"" + 0.010*""finger"" + 0.010*""pinch"" + 0.009*""want"" + 0.009*""id"" + 0.009*""use""')]",-5.910733099,0.55933564
